Level,Attempt,Begin,End,Duration,S/F
1,0,26/07/2019 11:18:53,26/07/2019 11:18:53,0,F
1,1,26/07/2019 11:18:57,26/07/2019 11:18:59,1.779999,F
1,2,26/07/2019 11:19:02,26/07/2019 11:19:22,19.26025,S
1,2,26/07/2019 11:19:03,26/07/2019 11:19:23,19.26025,F
2,1,26/07/2019 11:19:30,26/07/2019 11:19:33,3.479997,S
2,1,26/07/2019 11:19:30,26/07/2019 11:19:34,3.479997,F
3,1,26/07/2019 11:19:40,26/07/2019 11:19:44,3.559997,S
4,1,26/07/2019 11:19:51,26/07/2019 11:19:52,1.219999,S
5,1,26/07/2019 11:19:59,26/07/2019 11:20:00,1.799999,S
6,1,26/07/2019 11:20:05,26/07/2019 11:20:06,1.02,S
7,1,26/07/2019 11:20:11,26/07/2019 11:20:38,26.78042,S
