Session ID,Start Date/Time,End Date/Time,Duration
636997362986736741,26/07/2019 11:11:38,26/07/2019 11:12:44,00:01:06.2447634
636997363912890444,26/07/2019 11:13:11,26/07/2019 11:13:16,00:00:05.5340269
636997364045291243,26/07/2019 11:13:24,26/07/2019 11:14:04,00:00:40.1732570
636997364477798942,26/07/2019 11:14:07,26/07/2019 11:18:43,00:04:35.3538382
636997367261929878,26/07/2019 11:18:46,26/07/2019 11:20:44,00:01:58.7558093
636997418388188674,26/07/2019 12:43:58,26/07/2019 12:44:03,00:00:04.3020872
636997418527423610,26/07/2019 12:44:12,26/07/2019 12:44:14,00:00:02.2305684
637000860341194027,30/07/2019 12:20:34,30/07/2019 12:22:11,00:01:37.0278116
637000861514599561,30/07/2019 12:22:31,30/07/2019 12:22:34,00:00:03.2463346
637000861638622755,30/07/2019 12:22:43,30/07/2019 12:28:42,00:05:58.5081266
637000868564368929,30/07/2019 12:34:16,30/07/2019 12:36:55,00:02:39.2429449
637000883173949174,30/07/2019 12:58:37,30/07/2019 13:03:19,00:04:41.9926169
637000886026407083,30/07/2019 13:03:22,30/07/2019 13:05:07,737269.13:05:07.1401757
637000887101393333,30/07/2019 13:05:10,30/07/2019 13:07:58,737269.13:07:58.1196396
637000888830744543,30/07/2019 13:08:03,30/07/2019 13:09:13,00:01:10.3151414
637000894234729567,30/07/2019 13:17:03,30/07/2019 13:17:08,00:00:04.7862503
637000894590031863,30/07/2019 13:17:39,30/07/2019 13:17:45,00:00:06.8660513
637000908268960019,30/07/2019 13:40:26,30/07/2019 13:40:55,00:00:29.0365423
637000908852773889,30/07/2019 13:41:25,30/07/2019 13:42:08,00:00:43.0643144
637000909940059276,30/07/2019 13:43:14,30/07/2019 13:43:39,00:00:25.1808636
637000911310135783,30/07/2019 13:45:31,30/07/2019 13:45:39,00:00:08.8559682
637000923482109546,30/07/2019 14:05:48,30/07/2019 14:07:43,00:01:55.7060420
637000925138876833,30/07/2019 14:08:33,30/07/2019 14:09:53,00:01:19.2737657
637000926307088687,30/07/2019 14:10:30,30/07/2019 14:12:22,00:01:52.0989195
637000933475947761,30/07/2019 14:22:27,30/07/2019 14:23:53,00:01:26.2609238
637000941808731358,30/07/2019 14:36:20,30/07/2019 14:37:17,00:00:56.1937013
637000942448090195,30/07/2019 14:37:24,30/07/2019 14:38:09,00:00:44.2885361
637000944523130713,30/07/2019 14:40:52,30/07/2019 14:41:20,00:00:27.7975237
637000944907287460,30/07/2019 14:41:30,30/07/2019 14:41:53,00:00:22.8964204
637000945513468738,30/07/2019 14:42:31,30/07/2019 14:42:53,00:00:22.0211654
637000945994306452,30/07/2019 14:43:19,30/07/2019 14:43:42,00:00:23.0171989
637000949767303624,30/07/2019 14:49:36,30/07/2019 14:50:04,00:00:27.5161761
637000970345040391,30/07/2019 15:23:54,30/07/2019 15:24:22,00:00:28.0443888
637000971040892364,30/07/2019 15:25:04,30/07/2019 15:25:28,00:00:24.3457072
637000971587429321,30/07/2019 15:25:58,30/07/2019 15:26:28,00:00:29.6466460
637000971918881269,30/07/2019 15:26:31,30/07/2019 15:27:01,00:00:29.5581343
637000976231493575,30/07/2019 15:33:43,30/07/2019 15:33:51,00:00:07.8660279
637000979972745768,30/07/2019 15:39:57,30/07/2019 15:40:04,00:00:07.3466325
637000980078995464,30/07/2019 15:40:07,30/07/2019 15:41:03,00:00:55.9430845
637000980672620621,30/07/2019 15:41:07,30/07/2019 15:41:18,00:00:11.3948881
637000981100322779,30/07/2019 15:41:50,30/07/2019 15:42:00,00:00:10.5455980
637000981237650525,30/07/2019 15:42:03,30/07/2019 15:42:12,00:00:08.6093588
637000981446936441,30/07/2019 15:42:24,30/07/2019 15:42:32,00:00:07.7094977
637000981554217741,30/07/2019 15:42:35,30/07/2019 15:44:34,737269.15:44:34.5613305
637000982795239140,30/07/2019 15:44:39,30/07/2019 15:44:49,00:00:10.1968033
637000982964552518,30/07/2019 15:44:56,30/07/2019 15:45:12,00:00:15.5863775
637000983451187154,30/07/2019 15:45:45,30/07/2019 15:46:02,00:00:17.2568028
637000983800748510,30/07/2019 15:46:20,30/07/2019 15:46:22,00:00:02.4430957
637000984124527817,30/07/2019 15:46:52,30/07/2019 15:46:59,00:00:07.4832347
637000984230464386,30/07/2019 15:47:03,30/07/2019 15:47:11,00:00:08.5413631
637000984347109692,30/07/2019 15:47:14,30/07/2019 15:47:17,00:00:02.9213976
637000986159639853,30/07/2019 15:50:15,30/07/2019 15:50:22,00:00:06.7518169
637000986715119448,30/07/2019 15:51:11,30/07/2019 15:51:19,00:00:07.7348889
637000986885312794,30/07/2019 15:51:28,30/07/2019 15:51:30,00:00:01.9629284
637000986936184589,30/07/2019 15:51:33,30/07/2019 15:51:36,00:00:02.4925868
637000987151010472,30/07/2019 15:51:55,30/07/2019 15:51:56,00:00:01.0945979
637000987346872061,30/07/2019 15:52:14,30/07/2019 15:52:22,00:00:08.1116870
637000987763198757,30/07/2019 15:52:56,30/07/2019 15:53:04,00:00:08.1862957
637000987926136164,30/07/2019 15:53:12,30/07/2019 15:53:21,00:00:08.9973152
637000988139324529,30/07/2019 15:53:33,30/07/2019 15:53:43,00:00:09.1567655
637001699333736459,31/07/2019 11:38:53,31/07/2019 11:39:17,00:00:23.7340627
